GP,Tipo,Pole,P1,P2,P3,P4,P5,P6,P7,P8,P9,P10,VoltaRapida,PrimeiroAbandono,MaisUltrapassagens
Austrália,Classificação Principal (Pole),Nenhum / Outro,,,,,,,,,,,,,
Austrália,Corrida Principal,,George Russell,Kimi Antonelli,Charles Leclerc,Lewis Hamilton,Lando Norris,Max Verstappen,Oliver Bearman,Arvid Lindblad,Gabriel Bortoleto,Pierre Gasly,Max Verstappen,Isack Hadjar,Max Verstappen
China,Qualy Sprint (Pole),George Russell,,,,,,,,,,,,,
China,Corrida Sprint,,George Russell,Charles Leclerc,Lewis Hamilton,Lando Norris,Kimi Antonelli,Oscar Piastri,Liam Lawson,Oliver Bearman,,,,,
China,Classificação Principal (Pole),Kimi Antonelli,,,,,,,,,,,,,
China,Corrida Principal,,Kimi Antonelli,George Russell,Lewis Hamilton,Charles Leclerc,Gabriel Bortoleto,Pierre Gasly,Liam Lawson,Isack Hadjar,Carlos Sainz,Franco Colapinto,Kimi Antonelli,Lance Stroll,Carlos Sainz
Japão,Classificação Principal (Pole),Kimi Antonelli,,,,,,,,,,,,,
Japão,Corrida Principal,,Kimi Antonelli,Oscar Piastri,Charles Leclerc,George Russell,Lando Norris,Lewis Hamilton,Pierre Gasly,Max Verstappen,Liam Lawson,Esteban Ocon,Kimi Antonelli,Oliver Bearman,Liam Lawson
Miami,Qualy Sprint (Pole),Lando Norris,,,,,,,,,,,,,
Miami,Classificação Principal (Pole),Kimi Antonelli,,,,,,,,,,,,,
Miami,Corrida Sprint,,Lando Norris,Oscar Piastri,Charles Leclerc,George Russell,Max Verstappen,Kimi Antonelli,Lewis Hamilton,Pierre Gasly,,,,,
Miami,Corrida Sprint,,Lando Norris,Oscar Piastri,Charles Leclerc,George Russell,Max Verstappen,Kimi Antonelli,Lewis Hamilton,Pierre Gasly,,,,,
Miami,Corrida Principal,,Kimi Antonelli,Lando Norris,Oscar Piastri,George Russell,Max Verstappen,Lewis Hamilton,Franco Colapinto,Charles Leclerc,Carlos Sainz,Alex Albon,Lando Norris,Isack Hadjar,Gabriel Bortoleto
Canadá,Classificação Principal (Pole),George Russell,,,,,,,,,,,,,
Canadá,Qualy Sprint (Pole),George Russell,,,,,,,,,,,,,
Canadá,Corrida Sprint,,George Russell,Lando Norris,Kimi Antonelli,Oscar Piastri,Charles Leclerc,Lewis Hamilton,Max Verstappen,Arvid Lindblad,,,,,
Canadá,Corrida Principal,,Kimi Antonelli,Lewis Hamilton,Max Verstappen,Charles Leclerc,Isack Hadjar,Franco Colapinto,Liam Lawson,Pierre Gasly,Carlos Sainz,Oliver Bearman,Kimi Antonelli,Sergio Pérez,Oliver Bearman
Mônaco,Classificação Principal (Pole),Kimi Antonelli,,,,,,,,,,,,,
Mônaco,Corrida Principal,,Kimi Antonelli,Lewis Hamilton,Pierre Gasly,Isack Hadjar,Oscar Piastri,Liam Lawson,Arvid Lindblad,Alex Albon,Esteban Ocon,Fernando Alonso,Kimi Antonelli,Max Verstappen,Gabriel Bortoleto
Espanha,Classificação Principal (Pole),George Russell,,,,,,,,,,,,,
Espanha,Corrida Principal,,Lewis Hamilton,George Russell,Lando Norris,Max Verstappen,Oscar Piastri,Isack Hadjar,Pierre Gasly,Liam Lawson,Arvid Lindblad,Franco Colapinto,Lewis Hamilton,Lance Stroll,Pierre Gasly
Áustria,Classificação Principal (Pole),George Russell,,,,,,,,,,,,,
